SaleID,MSISDN,PurchaseDate,Amount,Channel
1,740000017,23/03/2026,2000,Agent
2,710000053,13/06/2026,10000,Agent
3,740000016,14/05/2026,-1000,Scratch
4,740000074,03/05/2026,10000,MobileMoney
5,740000042,04/05/2026,2000,Scratch
6,740000034,17/03/2026,,MobileMoney
7,740000072,04/03/2026,2000,Agent
8,740000010,20/01/2026,10000,Scratch
9,710000028,04/01/2026,2000,MobileMoney
10,740000050,18/02/2026,10000,Scratch
11,710000044,23/02/2026,20000,Agent
12,710000066,22/03/2026,5000,Agent
13,710000059,17/06/2026,2000,Agent
14,710000014,03/02/2026,2000,MobileMoney
15,740000050,26/04/2026,20000,Agent
16,740000026,13/04/2026,2000,Scratch
17,740000036,19/04/2026,2000,Agent
18,740000040,28/05/2026,1000,Scratch
19,740000060,28/01/2026,1000,Scratch
20,710000003,28/04/2026,2000,MobileMoney
21,710000004,02/05/2026,20000,MobileMoney
22,740000046,09/03/2026,1000,Agent
23,710000011,01/04/2026,10000,Scratch
24,710000020,12/04/2026,20000,MobileMoney
25,710000066,27/03/2026,1000,MobileMoney
26,740000035,05/04/2026,1000,Scratch
27,710000084,08/04/2026,10000,Scratch
28,710000038,18/02/2026,10000,Scratch
29,740000077,12/03/2026,20000,Agent
30,710000064,13/05/2026,10000,Scratch
31,710000088,13/01/2026,2000,Scratch
32,740000029,30/01/2026,1000,Scratch
33,740000074,10/03/2026,2000,Scratch
34,740000069,26/01/2026,5000,Scratch
35,710000080,29/06/2026,10000,MobileMoney
36,740000051,26/01/2026,2000,Agent
37,740000089,10/03/2026,10000,Scratch
38,740000022,22/02/2026,5000,Agent
39,710000037,30/06/2026,20000,MobileMoney
40,740000094,01/01/2026,1000,Scratch
41,710000065,29/06/2026,20000,MobileMoney
42,740000095,20/03/2026,2000,Scratch
43,740000041,24/06/2026,1000,Scratch
44,710000024,27/03/2026,10000,Scratch
45,710000002,20/06/2026,10000,MobileMoney
46,710000043,06/01/2026,2000,MobileMoney
47,740000010,13/02/2026,1000,Agent
48,740000046,02/05/2026,20000,Scratch
49,710000063,05/03/2026,10000,Scratch
50,740000006,05/01/2026,20000,Agent
51,710000038,28/02/2026,20000,Agent
52,740000022,07/02/2026,1000,Scratch
53,740000039,27/03/2026,10000,MobileMoney
54,740000095,31/03/2026,20000,MobileMoney
55,740000085,05/05/2026,5000,MobileMoney
56,710000059,04/01/2026,5000,MobileMoney
57,740000091,27/03/2026,20000,Agent
58,740000077,04/05/2026,1000,MobileMoney
59,710000088,13/05/2026,1000,Scratch
60,710000053,26/02/2026,2000,MobileMoney
61,710000064,08/01/2026,2000,Agent
62,740000095,28/06/2026,10000,MobileMoney
63,710000027,23/01/2026,2000,MobileMoney
64,740000082,28/01/2026,5000,Agent
65,740000087,20/05/2026,10000,Agent
66,740000023,09/03/2026,5000,MobileMoney
67,740000051,31/05/2026,10000,MobileMoney
68,740000040,18/02/2026,1000,Agent
69,710000067,29/06/2026,5000,Agent
70,740000016,21/04/2026,10000,Agent
71,710000045,15/03/2026,1000,Scratch
72,710000064,25/06/2026,2000,MobileMoney
73,710000088,08/02/2026,20000,MobileMoney
74,710000080,23/05/2026,2000,MobileMoney
75,710000063,15/03/2026,1000,MobileMoney
76,710000002,27/04/2026,1000,Scratch
77,710000037,01/06/2026,1000,Scratch
78,710000063,20/03/2026,1000,MobileMoney
79,740000046,19/06/2026,1000,Scratch
80,710000033,05/02/2026,5000,MobileMoney
81,710000065,20/06/2026,20000,Scratch
82,740000012,11/03/2026,2000,Agent
83,740000026,21/04/2026,20000,Scratch
84,710000038,26/02/2026,1000,MobileMoney
85,740000046,05/03/2026,10000,MobileMoney
86,740000052,26/01/2026,5000,MobileMoney
87,740000077,21/03/2026,2000,Agent
88,710000056,23/06/2026,5000,Agent
89,710000018,24/06/2026,2000,MobileMoney
90,710000018,17/04/2026,20000,Scratch
91,740000039,20/03/2026,1000,MobileMoney
92,710000073,10/06/2026,10000,Agent
93,710000024,07/04/2026,10000,Scratch
94,710000018,15/05/2026,10000,Agent
95,740000041,09/05/2026,5000,MobileMoney
96,740000046,20/04/2026,10000,MobileMoney
97,710000053,29/04/2026,1000,Agent
98,710000004,18/04/2026,1000,Scratch
99,710000079,19/03/2026,2000,Agent
100,710000066,06/04/2026,2000,Agent
101,740000070,25/05/2026,5000,Scratch
102,710000097,11/04/2026,2000,MobileMoney
103,710000086,02/01/2026,10000,Agent
104,710000059,14/01/2026,1000,Scratch
105,740000035,16/06/2026,1000,MobileMoney
106,740000077,25/01/2026,5000,Agent
107,710000062,26/06/2026,5000,Scratch
108,740000016,30/05/2026,20000,Agent
