SMSID,SourceMSISDN,DestinationMSISDN,SMSDate,Direction,MessageType,ChargeAmount
1,0740000082,0772123456,2026-05-15,MT,Promotional,50
2,0710000049,0755123456,2026-01-12,MO,Transactional,50
3,0710000073,0772123456,2026-02-11,MO,Promotional,50
4,0710000099,0772123456,2026-04-18,MT,Transactional,50
5,0740000094,0755123456,2026-03-15,OUT,Promotional,50
6,0740000017,0772123456,2026-06-09,MT,Promotional,50
7,0710000059,0755123456,2026-05-20,MO,Transactional,50
8,0740000031,0710000028,,MT,Transactional,50
9,0710000053,0772123456,2026-06-03,MO,Promotional,50
10,0710000071,0740000036,2026-06-10,MO,Promotional,50
11,0710000024,0772123456,2026-06-17,MT,Promotional,50
12,0740000019,0710000005,2026-05-28,MT,Transactional,50
13,0740000012,0772123456,2026-04-17,MO,Promotional,50
14,0740000087,0710000037,2026-06-19,MO,Transactional,50
15,0740000096,0755123456,2026-01-10,MO,Transactional,50
16,0740000042,0755123456,2026-01-18,MT,Promotional,50
17,0710000038,0772123456,2026-02-01,MT,Transactional,50
18,0710000068,0710000053,2026-02-23,MO,Promotional,50
19,0710000014,0740000074,2026-06-11,MO,Transactional,50
20,0710000093,0740000089,2026-06-30,MT,Transactional,50
21,0740000078,0755123456,2026-05-15,MT,Promotional,50
22,0710000079,0755123456,2026-05-14,MT,Transactional,50
23,0710000024,0772123456,2026-03-16,MO,Promotional,50
24,0740000016,0755123456,2026-06-10,MO,Promotional,50
25,0710000079,0755123456,2026-01-12,MT,Transactional,50
26,0740000072,0772123456,2026-01-03,MO,Transactional,50
27,0710000033,0755123456,2026-03-18,MT,Promotional,50
28,0740000015,0755123456,2026-03-29,MT,Promotional,50
29,0740000023,0755123456,2026-03-28,MT,Transactional,50
30,0710000005,0772123456,2026-05-04,MO,Transactional,50
31,0740000069,0755123456,2026-04-16,MO,Transactional,50
32,0710000073,0710000093,2026-03-22,MO,Promotional,50
33,0740000074,0755123456,2026-04-01,MO,Promotional,50
34,0740000036,0755123456,2026-04-07,MO,Transactional,50
35,0710000024,0772123456,2026-03-20,MT,Promotional,50
36,0740000035,0772123456,2026-05-08,MO,Transactional,50
37,0740000058,0772123456,2026-05-15,MT,Promotional,50
38,0740000015,0772123456,2026-02-21,MO,Transactional,50
39,0710000065,0755123456,2026-05-09,MO,Promotional,50
40,0710000044,0710000062,2026-05-15,MT,Transactional,50
41,0740000019,0772123456,2026-05-13,MO,Promotional,50
42,0710000093,0755123456,2026-04-10,MO,Promotional,50
43,0740000040,0740000006,2026-06-02,MO,Transactional,50
44,0740000060,0772123456,2026-05-14,MT,Promotional,50
45,0740000074,0755123456,2026-06-13,MO,Transactional,50
46,0740000026,0755123456,2026-03-12,MT,Transactional,50
47,0710000086,0755123456,2026-02-08,MO,Transactional,50
48,0740000015,0710000002,2026-05-24,MO,Promotional,50
49,0740000070,0710000045,2026-03-23,MT,Promotional,50
50,0740000091,0710000037,2026-03-04,MO,Promotional,50
51,0740000040,0755123456,2026-05-19,MT,Promotional,50
52,0740000017,0755123456,2026-06-22,MO,Promotional,50
53,0740000050,0772123456,2026-04-20,MT,Promotional,50
54,0740000091,0740000077,2026-06-11,MT,Transactional,50
55,0740000040,0772123456,2026-06-21,MO,Transactional,50
56,0710000073,0772123456,2026-06-28,MT,Promotional,50
57,0710000059,0740000040,2026-06-14,MT,Transactional,50
58,0710000030,0772123456,2026-06-07,MT,Transactional,50
59,0740000051,0710000024,2026-06-20,MT,Transactional,50
60,0710000059,0772123456,2026-01-17,MT,Promotional,50
61,0710000045,0755123456,2026-02-13,MT,Transactional,50
62,0740000078,0772123456,2026-05-11,MO,Transactional,50
63,0740000092,0755123456,2026-05-23,MO,Transactional,50
64,0740000069,0755123456,2026-06-01,MT,Promotional,50
65,0710000080,0710000032,2026-02-10,MT,Transactional,50
66,0740000009,0772123456,2026-06-27,MT,Transactional,50
67,0710000073,0710000044,2026-06-27,MO,Promotional,50
68,0740000085,0772123456,2026-05-27,MT,Promotional,50
69,0710000076,0755123456,2026-03-25,MO,Transactional,50
70,0740000023,0755123456,2026-01-18,MO,Transactional,50
71,0740000042,0710000064,2026-06-19,MO,Promotional,50
72,0710000028,0710000018,2026-06-12,MO,Promotional,50
73,0740000085,0755123456,2026-05-17,MT,Transactional,50
74,0710000079,0755123456,2026-02-20,MO,Transactional,50
75,0740000039,0710000073,2026-03-19,MT,Transactional,50
76,0740000012,0772123456,2026-06-06,MT,Promotional,50
77,0710000038,0755123456,2026-05-21,MO,Promotional,50
78,0740000091,0755123456,2026-01-29,MT,Promotional,50
79,0740000031,0710000056,2026-06-01,MT,Transactional,50
80,0740000092,0755123456,2026-04-08,MT,Promotional,50
81,0740000085,0755123456,2026-02-05,MO,Transactional,50
82,0740000047,0772123456,2026-03-15,MO,Promotional,50
83,0710000002,0740000010,2026-01-05,MO,Transactional,50
