SubscriberID,MSISDN,SubscriberName,Gender,Region,ActivationDate,Status
1,0710000001,Joseph Nakato,M,Northern,2026-03-04,Active
2,0710000002,Michael Tumusiime,M,Central,2026-06-23,Active
3,71123456,Sandra Atim,F,Central,2026-01-08,Active
4,0710000004,Moses Kizito,M,Eastern,2026-05-10,Active
5,0710000005,Raymond Namutebi,M,Western,2026-02-26,Active
6,0740000006,Charity Chemutai,F,Central,01/03/2026,Active
7,0740000007,Ruth Nakato,F,Northern,2026-02-09,Active
8,0710000008,Joyce Mutesasira,F,Central,2026-01-24,Active
9,0740000009,Simon Muhumuza,M,Northern,2026-03-30,Active
10,0740000010,Nathan Nakato,M,Western,2026-05-18,Active
11,,Faith Barasa,F,Central,2026-05-22,Active
12,0740000012,Beatrice Apolot,F,Eastern,2026-06-30,Active
13,0710000013,Simon Rotich,M,Eastern,2026-03-16,Active
14,0710000014,Benjamin Birungi,M,Central,2026-04-08,Active
15,0740000015,Mary Tukei,F,Northern,2026-02-11,Active
16,0740000016,Diana Nakkazi,F,Eastern,2026-06-21,Active
17,0740000017,Michael Ocen,M,Eastern,2026-05-17,Active
18,0710000018,Richard Nakkazi,M,Western,2026-04-08,Active
19,0740000019,Moses Namutebi,M,Northern,2026-01-15,Active
20,0710000020,Timothy Okello,M,Northern,2026-04-13,Active
21,0740000021,Philip Ssebulime,M,Eastern,2026-05-26,Active
22,0740000022,Nathan Muhwezi,M,Western,2026-04-12,Active
23,0740000023,David Nabirye,M,Northern,2026-02-05,Active
24,0710000024,Beatrice Odong,F,Western,2026-05-30,Active
25,0740000025,Susan Kalungi,F,Eastern,2026-02-05,Active
26,0740000026,Joel Ampumuza,M,Central,2026-01-29,Active
27,0710000027,Mark Kibuuka,M,Western,2026-06-02,Active
28,0710000028,Hope Simiyu,F,Western,2026-06-02,Active
29,0740000029,Esther Tumwebaze,F,Central,2026-06-24,Active
30,0710000030,Sandra Ampumuza,F,Northern,2026-01-29,Active
31,0740000031,Joyce Nakyejwe,F,Eastern,2026-04-27,Active
32,0710000032,Josephine Besigye,F,Eastern,2026-05-10,Active
33,0710000033,Christine Nabirye,F,Eastern,2026-02-09,Active
34,0740000034,Edward Tukei,M,Central,2026-06-03,Active
35,0740000035,Dorothy Mulindwa,F,Central,2026-01-29,Active
36,0740000036,Juliet Kavuma,F,Eastern,2026-01-15,Active
37,0710000037,Michael Kigozi,M,Central,2026-05-05,Active
38,0710000038,James Nakimuli,M,Eastern,2026-06-18,Active
39,0740000039,Baker Ojok,M,Northern,2026-05-16,Active
40,0740000040,Patrick Tukei,M,Eastern,2026-03-21,Active
41,0740000041,Violet Besigye,F,Western,2026-05-13,Active
42,0740000042,Michael Nassali,M,Eastern,2026-02-27,Active
43,0710000043,Faith Ssekandi,F,Central,2026-05-31,Active
44,0710000044,Henry Nsubuga,M,Central,2026-01-19,Active
45,0710000045,Simon Mugisha,M,Central,2026-01-09,Active
46,0740000046,Henry Wasswa,M,Eastern,2026-03-13,Active
47,0740000047,Michael Namukasa,M,Eastern,2026-05-27,Active
48,0740000048,Richard Achan,M,Western,2026-04-15,Active
49,0710000049,Henry Mutesasira,M,Central,2026-06-18,Active
50,0740000050,Olivia Lutaya,F,Western,2026-04-16,Active
51,0740000051,Ronald Lakony,M,Central,2026-01-16,Active
52,0740000052,Annet Atim,F,Central,2026-03-05,Active
53,0710000053,Patrick Aliba,M,Western,2026-02-05,Active
54,0740000054,Raymond Muhwezi,M,Northern,2026-04-29,Active
55,0710000055,Benjamin Chemutai,M,Western,2026-05-21,Active
56,0710000056,Benjamin Wasswa,M,Central,2026-01-24,Active
57,0710000057,Edward Ssekandi,M,Western,2026-05-05,Active
58,0740000058,Samuel Rwego,M,Western,2026-01-16,Active
59,0710000059,Olivia Namutebi,F,Central,2026-04-10,Active
60,0740000060,Sarah Achola,F,Northern,2026-04-19,Active
61,0740000061,Daniel Nalubega,M,Eastern,2026-03-17,Active
62,0710000062,Baker Luwaga,M,Central,2026-03-22,Active
63,0710000063,Ivan Namusisi,M,Western,2026-05-09,Active
64,0710000064,James Kaguta,M,Central,2026-02-17,Active
65,0710000065,Timothy Namusisi,M,Eastern,2026-04-14,Active
66,0710000066,Ronald Odongo,M,Central,2026-06-08,Active
67,0710000067,Annet Olweny,F,Northern,2026-03-08,Active
68,0710000068,Mary Luwaga,F,Eastern,2026-03-09,Active
69,0740000069,Joseph Luwaga,M,Northern,2026-04-28,Active
70,0740000070,Raymond Atukunda,M,Central,2026-04-28,Active
71,0710000071,Stephen Achola,M,Eastern,2026-05-10,Active
72,0740000072,George Chebet,M,Northern,2026-01-18,Active
73,0710000073,Prossy Nabirye,F,Northern,2026-02-10,Active
74,0740000074,Mary Muhwezi,F,Central,2026-06-20,Active
75,0740000075,Geoffrey Wafula,M,Eastern,2026-03-09,Active
76,0710000076,Geoffrey Oryem,M,Eastern,2026-03-11,Active
77,0740000077,Charles Nassali,M,Northern,2026-02-22,Active
78,0740000078,Immaculate Nakimuli,F,Northern,2026-01-14,Active
79,0710000079,Florence Ocen,F,Northern,2026-01-12,Active
80,0710000080,Dorothy Tukei,F,Eastern,2026-06-13,Active
81,0740000081,Raymond Odongo,M,Western,2026-05-22,Active
82,0740000082,John Namusisi,M,Central,2026-01-20,Active
83,0710000083,Henry Lugobe,M,Northern,2026-05-30,Active
84,0710000084,Grace Achola,F,Eastern,2026-01-11,Active
85,0740000085,Dorothy Ssenoga,F,Central,2026-04-02,Active
86,0710000086,Patrick Nsubuga,M,Central,2026-04-01,Active
87,0740000087,Patrick Achan,M,Eastern,2026-02-11,Active
88,0710000088,Joyce Kalungi,F,Central,2026-02-15,Active
89,0740000089,Olivia Namukasa,F,Eastern,2026-03-10,Active
90,0710000090,Raymond Auma,M,Western,2026-01-10,Active
91,0740000091,Samuel Sserwadda,M,Eastern,2026-04-28,Active
92,0740000092,Stella Olweny,F,Eastern,2026-02-27,Active
93,0710000093,Baker Muhwezi,M,Western,2026-03-26,Active
94,0740000094,Nicholas Nakimuli,M,Northern,2026-03-31,Active
95,0740000095,Diana Mutesasira,F,Central,2026-01-30,Active
96,0740000096,Raymond Mawanda,M,Northern,2026-01-10,Active
97,0710000097,Florence Musoke,F,Northern,2026-03-22,Active
98,0740000098,Charles Wasswa,M,Western,2026-05-28,Active
99,0710000099,Dorothy Kiplangat,F,Central,2026-04-22,Active
100,0710000100,Nicholas Rotich,M,Northern,2026-04-21,Active
