CallID,CallingMSISDN,CalledMSISDN,CallDate,DurationSeconds,ChargeAmount,CallType
1,740000009,755123456,2026-03-22,648,1296,Onnet
2,710000093,256781234567,2026-06-20,326,652,Offnet
3,740000042,755123456,2026-02-02,577,1154,Onnet
5,740000052,772123456,2026-03-15,321,642,Onnet
6,710000056,256781234567,2026-03-24,680,1360,Offnet
7,710000057,772123456,2026-05-02,533,1066,Onnet
8,740000085,710000066,2026-06-12,689,1378,Offnet
10,740000026,740000006,2026-05-02,260,520,Onnet
11,710000059,256781234567,2026-02-19,599,1198,Offnet
12,710000064,772123456,2026-06-26,681,1362,Onnet
13,710000097,772123456,2026-04-19,807,1614,Onnet
14,740000023,256781234567,2026-04-29,540,1080,Onnet
15,740000072,740000016,2026-02-04,477,954,Offnet
16,710000086,256781234567,2026-03-23,619,1238,Offnet
17,710000079,256781234567,2026-05-21,446,892,Offnet
18,740000021,755123456,2026-03-08,470,940,Onnet
19,740000082,710000100,2026-05-05,543,1086,Onnet
20,740000036,256781234567,2026-03-02,302,604,Offnet
21,710000043,256781234567,2026-02-05,92,184,Onnet
22,710000030,772123456,2026-02-24,733,1466,Onnet
23,740000054,256781234567,2026-04-17,487,974,Onnet
24,710000027,755123456,2026-05-30,798,1596,Onnet
25,740000098,755123456,2026-04-01,16,32,Offnet
26,710000097,755123456,2026-05-20,561,1122,Onnet
27,710000063,710000056,2026-01-08,507,1014,Offnet
28,710000044,755123456,2026-02-12,751,1502,Offnet
29,740000017,256781234567,2026-04-11,37,74,Onnet
30,710000011,772123456,2026-04-29,897,1794,Onnet
31,740000007,740000042,2026-04-27,226,452,Offnet
32,710000044,755123456,2026-04-18,294,588,Offnet
33,710000011,256781234567,2026-01-14,562,1124,Offnet
34,740000029,256781234567,2026-01-08,51,102,Onnet
35,740000026,256781234567,2026-03-03,166,332,Onnet
36,740000061,256781234567,2026-04-30,233,466,Offnet
37,710000099,256781234567,2026-01-30,631,1262,Onnet
38,740000040,710000004,2026-05-28,329,658,Offnet
39,740000051,772123456,2026-06-01,87,174,Onnet
40,710000014,755123456,2026-06-25,880,1760,Onnet
41,710000073,755123456,2026-04-20,555,1110,Offnet
42,740000009,755123456,2026-04-18,22,44,Offnet
43,710000014,755123456,2026-04-28,660,1320,Onnet
44,710000056,710000067,2026-03-11,676,1352,Offnet
45,740000060,256781234567,2026-03-10,616,1232,Offnet
46,710000032,772123456,2026-04-26,295,590,Onnet
47,710000097,256781234567,2026-04-08,694,1388,Offnet
48,710000004,755123456,2026-05-05,196,392,Onnet
49,740000046,755123456,2026-06-02,296,592,Offnet
