SubscriptionID,MSISDN,PackageName,SubscriptionDate,MonthlyFee,Status
1,710000049,Home 10Mbps,2026-04-25,150000,Active
2,740000052,Home 10Mbps,2026-02-22,150000,Active
3,710000076,Unknown,2026-01-24,100000,Active
4,710000065,Business 50Mbps,2026-05-13,100000,Active
5,740000021,Home 10Mbps,2026-01-31,150000,Active
7,740000041,Home 20Mbps,2026-02-18,100000,Active
8,740000012,Business 50Mbps,2026-04-03,150000,Active
9,710000033,Business 50Mbps,2026-01-29,150000,Active
10,710000003,Home 10Mbps,2026-04-08,150000,Active
11,740000052,Home 10Mbps,2026-04-01,150000,Active
12,740000040,Home 10Mbps,2026-04-22,300000,Active
13,740000039,Home 10Mbps,2026-06-29,100000,Active
14,710000084,Business 50Mbps,2026-04-10,150000,Active
15,710000003,Home 20Mbps,2026-06-15,150000,Active
16,740000006,Home 10Mbps,2026-03-05,100000,Active
17,710000073,Home 10Mbps,2026-02-02,300000,Active
18,710000020,Home 10Mbps,2026-06-27,150000,Active
19,740000098,Home 10Mbps,2026-01-16,300000,Active
20,710000027,Business 50Mbps,2026-06-19,150000,Active
21,740000048,Business 50Mbps,2026-04-17,100000,Active
22,740000054,Home 10Mbps,2026-02-14,300000,Active
23,710000020,Business 50Mbps,2026-06-21,100000,Active
24,740000047,Home 10Mbps,2026-02-11,100000,Active
25,710000064,Home 10Mbps,2026-03-20,150000,Active
26,740000081,Home 20Mbps,2026-03-09,300000,Active
27,740000042,Home 10Mbps,2026-01-07,150000,Active
28,710000004,Home 20Mbps,2026-01-09,300000,Active
29,740000019,Home 20Mbps,2026-01-12,300000,Active
30,710000049,Business 50Mbps,2026-05-15,100000,Active
31,740000021,Home 10Mbps,2026-01-04,150000,Active
32,740000029,Home 10Mbps,2026-04-18,100000,Active
33,740000015,Home 20Mbps,2026-04-29,150000,Active
34,740000069,Home 20Mbps,2026-02-04,300000,Active
35,740000082,Home 10Mbps,2026-03-21,150000,Active
36,740000061,Home 20Mbps,2026-02-02,150000,Active
37,740000085,Business 50Mbps,2026-04-04,300000,Active
38,710000086,Business 50Mbps,2026-01-25,150000,Active
39,710000064,Business 50Mbps,2026-05-27,100000,Active
40,740000017,Home 10Mbps,2026-05-12,100000,Active
41,740000019,Home 10Mbps,2026-06-18,100000,Active
42,740000096,Home 10Mbps,2026-04-14,150000,Active
43,710000079,Home 10Mbps,2026-03-05,100000,Active
44,710000033,Home 10Mbps,2026-06-18,150000,Active
45,710000043,Business 50Mbps,2026-04-29,300000,Active
46,710000076,Business 50Mbps,2026-05-13,300000,Active
47,740000035,Home 10Mbps,2026-03-25,150000,Active
48,740000048,Business 50Mbps,2026-02-07,300000,Active
49,740000095,Home 10Mbps,2026-04-09,300000,Active
50,740000007,Home 10Mbps,2026-02-16,100000,Active
51,740000019,Business 50Mbps,2026-01-09,100000,Active
52,740000021,Home 20Mbps,2026-03-24,100000,Active
53,740000074,Home 20Mbps,2026-05-04,150000,Active
54,740000025,Business 50Mbps,2026-05-28,150000,Active
55,740000058,Home 10Mbps,2026-04-27,300000,Active
56,740000034,Business 50Mbps,2026-04-23,100000,Active
57,740000096,Home 20Mbps,2026-06-17,300000,Active
58,710000044,Home 20Mbps,2026-02-17,150000,Active
59,710000044,Home 20Mbps,2026-05-21,150000,Active
60,740000085,Home 10Mbps,2026-06-21,150000,Active
61,740000098,Business 50Mbps,2026-03-09,100000,Active
62,740000047,Home 20Mbps,2026-06-14,100000,Active
63,740000070,Home 10Mbps,2026-01-25,100000,Active
64,710000059,Home 10Mbps,2026-01-31,300000,Active
65,740000092,Home 20Mbps,2026-02-02,150000,Active
