BundleSaleID,MSISDN,BundleName,PurchaseDate,Amount,ValidityDays
1,740000050,Monthly 5GB,2026-09-02,20000,30
6,710000071,Monthly 5GB,2026-10-03,20000,30
10,740000085,Monthly 5GB,2026-11-06,20000,30
11,740000061,Daily 100MB,2026-05-02,1000,1
13,710000073,Weekly 1GB,2026-07-04,5000,7
14,710000076,Monthly 5GB,2026-09-01,20000,30
16,740000046,Monthly 5GB,2026-03-01,20000,30
17,740000054,Daily 100MB,2026-02-05,1000,1
19,710000024,Daily 100MB,2026-02-04,1000,1
21,710000024,Monthly 5GB,2026-06-01,20000,30
25,710000032,Weekly 1GB,2026-06-03,5000,7
26,740000048,Monthly 5GB,2026-03-06,20000,30
28,740000039,Weekly 1GB,2026-11-01,5000,7
29,740000098,Daily 100MB,2026-10-05,1000,1
32,710000004,Monthly 5GB,2026-11-02,20000,30
35,710000073,Daily 100MB,2026-05-02,1000,1
40,740000085,Daily 100MB,2026-07-02,1000,1
44,710000093,Daily 100MB,2026-04-03,1000,1
46,710000001,Weekly 1GB,2026-03-05,5000,7
50,710000086,Weekly 1GB,2026-07-04,5000,7
51,740000091,Weekly 1GB,2026-04-03,5000,7
52,740000050,Daily 100MB,2026-02-02,1000,1
53,740000098,Weekly 1GB,2026-04-02,5000,7
57,710000045,Daily 100MB,2026-06-05,1000,1
59,740000029,Daily 100MB,2026-05-06,1000,1
60,710000099,Daily 100MB,2026-02-03,1000,1
62,710000001,Monthly 5GB,2026-06-06,20000,30
63,710000097,Monthly 5GB,2026-12-04,20000,30
71,710000005,Weekly 1GB,2026-08-03,5000,7
72,740000023,Weekly 1GB,2026-11-02,5000,7
76,740000052,Monthly 5GB,2026-04-01,20000,30
77,740000041,Daily 100MB,2026-02-02,1000,1
78,710000065,Monthly 5GB,2026-09-04,20000,30
79,710000059,Monthly 5GB,2026-03-01,20000,30
82,710000055,Weekly 1GB,2026-08-03,5000,7
84,740000058,Monthly 5GB,2026-09-05,20000,30
85,710000100,Weekly 1GB,2026-02-05,5000,7
88,740000069,Weekly 1GB,2026-09-04,5000,7
89,710000011,Monthly 5GB,2026-08-02,20000,30
90,710000044,Daily 100MB,2026-01-06,1000,1
91,740000026,Weekly 1GB,2026-12-05,5000,7
94,740000006,Weekly 1GB,2026-01-02,5000,7
95,710000059,Weekly 1GB,2026-04-04,5000,7
99,740000070,Daily 100MB,2026-10-03,1000,1
100,710000038,Daily 100MB,2026-02-04,1000,1
102,740000039,Weekly 1GB,2026-12-06,5000,7
104,740000094,Weekly 1GB,2026-10-01,5000,7
105,740000095,Monthly 5GB,2026-12-04,20000,30
107,710000013,Monthly 5GB,2026-02-02,20000,30
108,740000019,Monthly 5GB,2026-12-06,20000,30
109,710000056,Weekly 1GB,2026-12-03,5000,7
112,710000059,Monthly 5GB,2026-11-01,20000,30
113,740000042,Daily 100MB,2026-06-04,1000,1
114,740000019,Daily 100MB,2026-05-06,1000,1
118,740000052,Weekly 1GB,2026-06-01,5000,7
119,740000096,Daily 100MB,2026-07-03,1000,1
125,740000074,Weekly 1GB,2026-02-05,5000,7
128,740000036,Daily 100MB,2026-09-05,1000,1
129,740000006,Monthly 5GB,2026-04-06,20000,30
131,740000035,Weekly 1GB,2026-02-01,5000,7
132,710000027,Weekly 1GB,2026-05-01,5000,7
133,740000085,Weekly 1GB,2026-03-02,5000,7
138,740000009,Daily 100MB,2026-06-06,1000,1
139,740000094,Weekly 1GB,2026-05-06,5000,7
142,740000050,Monthly 5GB,2026-02-05,20000,30
148,740000050,Monthly 5GB,2026-07-03,20000,30
150,710000011,Monthly 5GB,2026-11-06,20000,30
155,710000004,Weekly 1GB,2026-09-02,5000,7
156,740000075,Monthly 5GB,2026-12-02,20000,30
158,740000054,Weekly 1GB,2026-06-01,5000,7
